#ID	Dwarf Name
1	Aquarius_II
2	Bootes_I
3	Bootes_II
4	Bootes_III
5	Canes_Venatici_I
6	Canes_Venatici_II
7	Canis_Major
8	Carina
9	Carina_II
10	Carina_III
11	Cetus_II
12	Cetus_III
13	Columba_I
14	Coma_Berenices
15	Crater_II
16	Draco
17	Draco_II
18	Eridanus_II
19	Eridanus_III
20	Fornax
21	Grus_I
22	Grus_II
23	Hercules
24	Horologium_I
25	Horologium_II
26	Hydra_II
27	Hydrus_I
28	Indus_II
29	Kim_2
30	Laevens_3
31	Leo_I
32	Leo_II
33	Leo_IV
34	Leo_T
35	Leo_V
36	Pegasus_III
37	Phoenix_II
38	Pictor_I
39	Pictor_II
40	Pisces_II
41	Reticulum_II
42	Reticulum_III
43	Sagittarius
44	Sagittarius_II
45	Sculptor
46	Segue_1
47	Segue_2
48	Sextans
49	Triangulum_II
50	Tucana_II
51	Tucana_III
52	Tucana_IV
53	Tucana_V
54	Ursa_Major_I
55	Ursa_Major_II
56	Ursa_Minor
57	Virgo_I
58	Willman_1
59	Antlia_II
60	Balbinot_1
61	Bliss_1
62	Bootes_IV
63	Bootes_V
64	Centaurus_I
65	DELVE_1
66	DELVE_2
67	DELVE_3
68	DELVE_4
69	DELVE_5
70	DES_1
71	DES_3
72	DES_4
73	DES_5
74	DES_Sgr_1
75	DES_Sgr_2
76	Eridanus_IV
77	Gaia_3
78	HSC_1
79	Kim_1
80	Kim_3
81	Koposov_1
82	Koposov_2
83	Laevens_1
84	Leo_Minor_I
85	Munoz_1
86	Pegasus_IV
87	PS1_1
88	Segue_3
89	Smash_1
90	Torrealba_1
91	Virgo_II
92	YMCA_1
93	Ursa_III
94	Leo_VI